"||",విషయసూచిక,"||"
S.No,Title,Page No
1,దేవుని వద్ద కొబ్బరికాయను కొట్టేది ఎందుకు ?,33 
2,విష్ణుసహస్ర నామం చదవటానికి ముందు రుద్ర శాప విమోచనం చదవాలా ?,34 
3,వ్యాసమహర్షి సూక్తి,34 
4,గుడిలో ఎందుకు ప్రదక్షిణలు చేస్తారు?,34 
5,భృగుమహర్షి సూక్తి,35 
6,అరిషడ్వర్గములు అను దుర్గుణములు మానవుడ్ని ఏ స్థితికి తీసుకువస్తాయి?,35
7,ఏ గుడికి ఏ ఏ వేళల్లో వెళితే ఎంత పుణ్యం?,36 
8,కరుఋషి సూక్తి,36 
9,ధైర్యం సుఖాలకు మూలమా ?,37
10,దరిద్రుడితో స్నేహం చేస్తే ఆ దరిద్రం మనకంటుకుంటుందా?,37  
11,శ్రీశుకుడు సూక్తి,38
12,వినాయకుడి పూజలో తులసి ఎందుకు నిషిద్ధము?,38  
13,మండూక ఋషి సూక్తి,39 
14,వెల్లుల్లి రక్తాన్ని గడ్డ కట్టించకుండా కాపాడుతుందా ?,39 
15,గుడికి వెళ్ళేటప్పుడు తలస్నానం చేసి వెళితే మరింత శుభమా?,39  
16,తైత్తిరేయులు సూక్తి,40
17,'జననీ జన్మ భూమిశ్చ స్వర్గాదపీ గరీయసీ' అన్నదెవరు?,40  
18,జైమిని సూక్తి,41 
19,పుణ్యానికి పోతే పాపం ఎదురయిందని ఎందుకంటారు?,41 
20,వశిష్ఠ మహర్షి సూక్తి,42 
21,రథసప్తమి రోజు జిల్లేడు ఆకుపై రేగిపండు పెట్టుకుని స్నానం చేసేదెందుకు ?,42 
22,గుడిలో షడగోప్యం (శఠగోపనం) తలమీద పెట్టడం ద్వారా ఏం ఫలితం వస్తుంది ?,43  
23,గుడిలో దర్శనం అయ్యాక కూర్చునేదెందుకు?,44 
24,దాల్బ్యుదు సూక్తి,45
25,వటపత్ర శాయి అనగా?,46 
26,"అసలు స్నానం ఎలా చెయ్యాలి?,అసలు స్నానాలు ఎన్ని" ?,46
27,మనువు సూక్తి,47  
28,పుష్కర స్నాన మహిమ,47 
29,అంబరీషుడు సూక్తి,48
30,చంటి పిల్లల్ని కాళ్ళ మీద పడుకోబెట్టుకుని స్నానం చేయించేదెందుకు?,48 
31,ఉద్దాలక మహర్షి సూక్తి,49 
32,ఏ ప్రదేశాల్లో జపం చేస్తే ఎంత ఫలితము ఉంటుంది ?,49 
33,మసాలా దినుసులు ఎంత మంచివి?,50 
34,యాస్క మహర్షి సూక్తి,50 
35,ముక్కోటినాడు ఉత్తర ద్వార దర్శనం ఎందుకు ?,51 
36,దేవాలయంలోకి వెళ్ళే ముందు కాళ్ళు ఎందుకు కడుక్కోవాలి ?,51 
37,స్నానం ఎంత సేపు చెయ్యాలి?,52 
38,స్త్రీ కామాన్ని సంపూర్ణంగా తీర్చలేదా పురుషుడు ?,54 
39,శాకాటాయన ఋషి సూక్తి,54 
40,తిరుమల శ్రీవారి హస్తాలు అలా ఎందుకుంటాయి ?,54 
41,సాలగ్రామములు ఎంతటి శక్తివంతమైనవి?,55 
42,గాలవముని సూక్తి,56 
43,"ఆలయాల్లో రావిచెట్టు, వేపచెట్టు ఎందుకుంటాయి" ?,56 
44,జమదగ్ని సూక్తి,57 
45,వాస్తు శాస్త్రం ఎప్పట్నించి పాటిస్తున్నారు ?,57 
46,బిల్వ వృక్షం ఎక్కడ పుట్టింది ?,58 
47,దీపారాధనలో తెలియకుండా చేసే పొరపాట్లు,58 
48,కన్యఋషి సూక్తి,59 
49,కార్తీక స్నానమెందుకు ?,59 
50,తిరుమల శ్రీవేంకటేశ్వరుని బంగారు గోపురంపై విమాన వేంకటేశ్వరస్వామి ఎవరి కోసము ?,60
51,ఆత్రేయుడు సూక్తి,61
52,ఆలయాల వద్ద అమ్మే నల్లదారాలను ధరించటంలో అర్థం ఏమిటి?,61 
53,అట్లతద్ది నాడు అట్లెందుకు పోస్తారు?,62 
54,ప్రహ్లాదుడు సూక్తి,62 
55,ఏవి ఎన్నటికీ తిరిగి పొందలేము ?,63 
56,దేవాలయాల్లో స్త్రీలు పూజారులుగా ఎందుకు ఉండరాదు ?,63 
57,రామనామ మహిమ,64 
58,దేవహూతి సూక్తి,65 
59,వినాయకుడి వాహనంగా ఎలుకెందుకయ్యింది ?,65  
60,వైతరణీ నది ఎలా ఉంటుంది ?,66 
61,యాజ్ఞవల్క్యుడు సూక్తి,66 
62,స్త్రీలు భగవంతునికి సాష్టాంగ నమస్కారం ఎందుకు చేయకూడదు?,67 
63,మాంసాహారము తీసుకునే వాళ్ళ పూజలు ఫలించవా ?,67 
64,జడభరతుడు సూక్తి,68 
65,"పెళ్ళిలో వధూవరుల ఒకరిపై నొకరు తలలపై జీలకర్ర, బెల్లం పెట్టేదెందుకు" ?,68 
66,చేసే పాపాలకు యమలోకంలో శిక్షలుఏమేముంటాయి ?,69 
67,కాకి అరిస్తే చుట్టాలొస్తారా ?,70 
68,విశ్వామిత్రుడు సూక్తి,70 
69,గణపతిని నిమజ్జనం చేస్తారెందుకు ?,70 
70,సీతాదేవి గడ్డిపోచని అడ్డం పెట్టుకొని రావణుడితో మాట్లాడింది ఎందుకు ?,71 
71,హారతి వల్ల ప్రయోజనము ఏమిటి ?,72 
72,వరుణుడి సూక్తి,73 
73,పిల్లలకి దిష్టి ఎందుకు తీస్తారు ?,73  
74,బృహస్పతి సూక్తి,74
75,కార్తీక మాసము ప్రత్యేకత ఏమిటి ?,74 
76,అజగరుడి సూక్తి,75 
77,నిద్రలేవగానే ఎవర్ని చూస్తే ఆ రోజంతా శుభప్రదం అవుతుంది ?,75
78,ఉదయన్నే నీరు తాగటం ఎందుకు?,75 
79,రోహిణికార్తెకి రోళ్ళు పగులుతాయా?,76 
80,రుక్మాంగదుడు సూక్తి,76 
81,శ్రీ లలితా సహస్రనామం ఏ పురాణంలో ఉంది ?,76 
82,అక్రూరుడు సూక్తి,77 
83,సంసార సుఖాన్ని ఏ విధంగా పొందాలి ?,77 
84,శిబి చక్రవర్తి సూక్తి,79 
85,భగవంతుని పూజకు ఏ పూలు శ్రేష్టమైనవి ?,80
86,ఏ లక్షణములు గల సాలగ్రామములు మంచివి కావు?,81 
87,ఏ ఏ తిథిల్లో ఏం తినకూడదు ?,81 
88,మానవుడు చెయ్యకూడని ధర్మాలు,82 
89,జంతువుల నుంచి మనిషి ఏం నేర్చుకోవాలి ?,83 
90,బట్టలన్నీ విప్పదీసి పూర్తి దిగంబరంగా ఎందుకు నిద్రించరాదు ?,84 
91,తిరుమల శ్రీవారి సుప్రభాతాన్ని ఎవరు రచించారు ?,85
92,గుడిలో దర్శనం అయ్యాక ఎందుకు కూర్చోవాలి ?,86 
93,శారదాదేవి సూక్తి,86 
94,"శుభకార్యాలకీ, చర్చలకీ ముగ్గురెందుకు వెళ్ళ కూడదంటారు" ?,87 
95,పూర్వజన్మలో ఏ పాపం చేస్తే ఈ జన్మలో ఏ విధంగా పుడతారు?,87 
96,ఏ దానము వల్ల ఏం ఫలము ?,88 
97,గార్గేయి సూక్తి,89 
98,(కుంకుమ) బొట్టు ఎందుకు ధరించాలి ?,89 
99,తల్లి గర్భంలోని పిండం ఎలా పెరుగుతుంది ?,90
100,ఎలాంటి ఆహారం తీసుకోవాలి ?,91 
101,"అరటి, రావి, మోదుగ, మర్రి, పచ్చఆకుల్లో భోజనము సకల శుభకరమూ, ఆరోగ్యకరము",91 
102,ఏయే దానాల వల్ల ఏయే ఫలితం వస్తుంది ?,92 
103,పరిపూర్ణ ఆరోగ్యంగా జీవించాలంటే ?,93 
104,వీటినెన్నటికీ చెప్పరాదు ?,93   
105,భార్య గర్భవతిగా ఉన్నప్పుడు ఇల్లెందుకు కట్టుకోకూడదు ?,93